GEOID,n_listings,n_unique_hosts,n_entire_home,availability_365,number_of_reviews,share_entire_home
36047018000,3,3,2,335.6666666666667,155.66666666666666,0.6666666666666666
36047018200,3,3,2,266.3333333333333,81.0,0.6666666666666666
36047018300,31,29,19,124.0,51.61290322580645,0.6129032258064516
36047018400,2,2,2,0.0,11.0,1.0
36047018501,17,15,11,167.52941176470588,32.470588235294116,0.6470588235294118
36047018600,2,2,0,286.5,73.5,0.0
36047018700,23,23,14,120.34782608695652,20.956521739130434,0.6086956521739131
36047019000,3,3,3,355.3333333333333,65.33333333333333,1.0
36047019100,43,41,22,67.72093023255815,53.16279069767442,0.5116279069767442
36047019200,2,2,0,0.0,29.5,0.0
36047019300,43,39,26,118.65116279069767,14.790697674418604,0.6046511627906976
36047019400,2,2,0,61.0,8.0,0.0
36047019500,30,25,15,162.1,17.1,0.5
36047019600,3,1,0,135.66666666666666,33.333333333333336,0.0
36047019700,37,35,25,132.83783783783784,65.56756756756756,0.6756756756756757
36047019800,4,3,4,158.25,8.5,1.0
36047019900,85,49,71,171.83529411764707,14.31764705882353,0.8352941176470589
36047020100,55,50,31,116.67272727272727,39.03636363636364,0.5636363636363636
36047020300,45,40,35,135.6,21.177777777777777,0.7777777777777778
36047020500,52,51,42,111.8076923076923,36.63461538461539,0.8076923076923077
36047020600,1,1,1,59.0,3.0,1.0
36047020800,1,1,1,117.0,1.0,1.0
36047021000,1,1,0,0.0,76.0,0.0
36047021100,35,23,15,131.74285714285713,20.0,0.42857142857142855
36047021300,15,12,8,91.93333333333334,4.6,0.5333333333333333
36047021600,1,1,0,0.0,11.0,0.0
36047021700,36,35,21,118.66666666666667,15.166666666666666,0.5833333333333334
36047021900,53,45,21,138.67924528301887,31.867924528301888,0.39622641509433965
36047022100,55,43,12,160.36363636363637,16.345454545454544,0.21818181818181817
36047022400,5,4,3,216.2,19.8,0.6
36047022700,65,47,26,191.1076923076923,29.615384615384617,0.4
36047022800,2,2,1,78.0,2.5,0.5
36047022900,71,63,49,138.67605633802816,30.492957746478872,0.6901408450704225
36047023100,49,38,29,136.6326530612245,39.816326530612244,0.5918367346938775
36047023300,63,52,26,109.6984126984127,28.206349206349206,0.4126984126984127
36047023400,1,1,1,365.0,192.0,1.0
36047023500,52,32,12,183.07692307692307,28.673076923076923,0.23076923076923078
36047024000,1,1,0,0.0,39.0,0.0
36047024600,1,1,1,267.0,101.0,1.0
36047024900,45,35,19,181.55555555555554,36.55555555555556,0.4222222222222222
36047025200,3,3,3,130.33333333333334,80.33333333333333,1.0
36047025500,11,11,8,63.63636363636363,32.72727272727273,0.7272727272727273
36047025600,2,2,2,361.5,26.5,1.0
36047025700,29,27,3,82.79310344827586,8.89655172413793,0.10344827586206896
36047025800,4,3,4,198.0,15.0,1.0
36047025901,43,32,15,163.34883720930233,20.325581395348838,0.3488372093023256
36047025902,14,8,3,248.57142857142858,32.642857142857146,0.21428571428571427
36047026000,5,3,1,263.2,12.8,0.2
36047026200,2,2,2,182.5,3.0,1.0
36047026500,75,53,25,168.98666666666668,42.8,0.3333333333333333
36047026700,71,54,47,181.80281690140845,58.61971830985915,0.6619718309859155
36047026900,50,29,24,242.14,53.28,0.48
36047027000,3,3,1,0.0,1.6666666666666667,0.3333333333333333
36047027300,46,36,29,181.95652173913044,66.04347826086956,0.6304347826086957
36047027400,1,1,1,269.0,19.0,1.0
36047027500,78,52,31,198.55128205128204,47.42307692307692,0.3974358974358974
36047027600,6,5,3,102.66666666666667,37.166666666666664,0.5
36047027700,43,39,26,177.7906976744186,64.69767441860465,0.6046511627906976
36047027800,3,3,2,174.33333333333334,27.333333333333332,0.6666666666666666
36047027900,87,47,29,223.28735632183907,30.942528735632184,0.3333333333333333
36047028000,2,1,2,317.5,20.5,1.0
36047028100,42,39,13,90.80952380952381,30.333333333333332,0.30952380952380953
36047028200,4,3,1,315.5,39.0,0.25
36047028400,5,4,5,230.2,89.2,1.0
36047028501,20,14,1,168.55,19.65,0.05
36047028700,65,47,12,143.6,30.723076923076924,0.18461538461538463
36047028800,1,1,1,0.0,13.0,1.0
36047028900,58,39,12,201.41379310344828,25.103448275862068,0.20689655172413793
36047029000,4,4,2,196.5,17.75,0.5
36047029100,77,53,26,189.5194805194805,53.467532467532465,0.33766233766233766
36047029300,54,38,21,206.92592592592592,31.35185185185185,0.3888888888888889
36047029400,18,4,17,12.222222222222221,0.8888888888888888,0.9444444444444444
36047029500,65,57,39,214.06153846153848,38.2,0.6
36047029600,1,1,0,179.0,3.0,0.0
36047029800,4,3,1,293.25,0.25,0.25
36047029900,18,15,4,140.16666666666666,76.22222222222223,0.2222222222222222
36047030200,1,1,1,0.0,1.0,1.0
36047030300,26,22,7,186.96153846153845,49.92307692307692,0.2692307692307692
36047030400,1,1,1,278.0,140.0,1.0
36047030500,91,73,35,136.67032967032966,17.373626373626372,0.38461538461538464
36047030700,32,27,14,182.65625,52.34375,0.4375
36047030800,1,1,0,365.0,31.0,0.0
36047030900,22,20,13,191.9090909090909,35.13636363636363,0.5909090909090909
36047031100,44,33,18,215.6590909090909,25.931818181818183,0.4090909090909091
36047031300,72,42,31,203.375,46.388888888888886,0.4305555555555556
36047031401,1,1,1,85.0,8.0,1.0
36047031500,82,63,51,167.8170731707317,35.69512195121951,0.6219512195121951
36047031701,41,27,13,158.53658536585365,43.073170731707314,0.3170731707317073
36047031702,47,39,26,115.40425531914893,23.4468085106383,0.5531914893617021
36047031900,21,18,8,146.71428571428572,20.714285714285715,0.38095238095238093
36047032100,20,18,6,142.55,10.5,0.3
36047032300,22,18,12,175.72727272727272,26.818181818181817,0.5454545454545454
36047032500,15,13,9,95.06666666666666,34.4,0.6
36047032600,9,4,6,207.55555555555554,85.66666666666667,0.6666666666666666
36047032700,26,24,19,152.19230769230768,44.0,0.7307692307692307
36047032800,1,1,0,241.0,0.0,0.0
36047032900,36,21,12,200.33333333333334,23.833333333333332,0.3333333333333333
36047033000,1,1,1,178.0,0.0,1.0
36047033100,5,4,5,330.8,54.2,1.0
36047033300,12,12,8,173.58333333333334,9.666666666666666,0.6666666666666666
36047033500,8,8,7,156.625,24.875,0.875
36047033600,19,5,14,145.73684210526315,28.68421052631579,0.7368421052631579
36047033701,14,14,8,68.28571428571429,16.285714285714285,0.5714285714285714
36047033702,7,6,3,198.0,27.857142857142858,0.42857142857142855
36047033900,47,44,30,119.0,47.255319148936174,0.6382978723404256
36047034100,23,19,16,171.34782608695653,39.21739130434783,0.6956521739130435
36047034300,28,26,20,184.03571428571428,51.607142857142854,0.7142857142857143
36047034500,53,33,18,224.32075471698113,18.37735849056604,0.33962264150943394
36047034700,28,21,12,225.57142857142858,26.035714285714285,0.42857142857142855
36047034800,10,3,2,292.0,13.0,0.2
36047034901,10,8,4,112.2,18.4,0.4
36047034902,12,12,5,223.16666666666666,56.333333333333336,0.4166666666666667
36047035101,12,11,7,171.75,30.083333333333332,0.5833333333333334
36047035102,12,12,7,187.91666666666666,38.5,0.5833333333333334
36047035200,3,3,3,208.0,17.666666666666668,1.0
36047035301,19,12,6,215.26315789473685,8.947368421052632,0.3157894736842105
36047035302,11,9,7,174.0,28.181818181818183,0.6363636363636364
36047035500,15,12,10,217.6,35.6,0.6666666666666666
36047035602,1,1,1,0.0,1.0,1.0
36047035701,9,9,5,163.77777777777777,38.333333333333336,0.5555555555555556
36047035702,5,5,2,114.2,21.4,0.4
36047035900,22,15,13,187.77272727272728,36.54545454545455,0.5909090909090909
36047036001,1,1,1,0.0,1.0,1.0
36047036002,4,3,0,195.5,14.5,0.0
36047036100,5,5,4,173.2,24.6,0.8
36047036200,13,12,8,187.84615384615384,15.923076923076923,0.6153846153846154
36047036300,31,22,11,273.7096774193548,49.806451612903224,0.3548387096774194
36047036400,6,6,3,214.16666666666666,5.0,0.5
